Data,Valor_Euros,Texto_Original
Data não identificada,"180,0","180,00 €"
Data não identificada,"190,0","190,00 €"
Data não identificada,"200,0","200,00 €"
Data não identificada,"210,0","210,00 €"
Data não identificada,"220,0","220,00 €"
Data não identificada,"230,0","230,00 €"
Data não identificada,"240,0","240,00 €"
Data não identificada,"250,0","250,00 €"
Data não identificada,"241,17","241,17 €"
Data não identificada,"180,0","180,00 €"
Data não identificada,"190,0","190,00 €"
Data não identificada,"200,0","200,00 €"
Data não identificada,"210,0","210,00 €"
Data não identificada,"220,0","220,00 €"
Data não identificada,"230,0","230,00 €"
Data não identificada,"240,0","240,00 €"
Data não identificada,"250,0","250,00 €"
