Date,Price,BTC_Price_EUR,Price_in_BTC
5 de janeiro de 2022,187.7,38461.6,0.004880192191692493
12 de janeiro de 2022,188.4,38438.9,0.004901284896289956
19 de janeiro de 2022,187.56,36780.6,0.005099427415539714
26 de janeiro de 2022,184.26,32781.1,0.005620921811653666
2 de fevereiro de 2022,184.73,32675.8,0.005653419350100074
9 de fevereiro de 2022,186.88,38880.7,0.004806497825399234
16 de fevereiro de 2022,185.66,38599.4,0.004809919325170857
23 de fevereiro de 2022,183.63,32928.0,0.005576712827988338
2 de março de 2022,185.17,39499.9,0.004687859969265745
9 de março de 2022,183.64,37900.8,0.004845280310705842
16 de março de 2022,191.58,37302.9,0.005135793731854628
23 de março de 2022,192.28,38976.8,0.004933191026456764
30 de março de 2022,193.63,42152.5,0.004593559100883696
6 de abril de 2022,194.92,39627.7,0.004918781559363778
13 de abril de 2022,201.68,37764.9,0.005340408686372796
20 de abril de 2022,200.79,38134.5,0.005265310938913582
27 de abril de 2022,202.94,37167.1,0.005460205396708379
4 de maio de 2022,205.99,37354.8,0.0055144184950796146
11 de maio de 2022,207.21,27520.7,0.007529241625394703
18 de maio de 2022,205.26,27368.0,0.0075
25 de maio de 2022,204.91,27611.1,0.007421290712793044
1 de junho de 2022,205.98,27962.2,0.007366373175215111
8 de junho de 2022,201.29,28169.9,0.007145570271814951
15 de junho de 2022,203.2,21577.6,0.009417173364971082
22 de junho de 2022,201.98,18890.5,0.010692146846298404
29 de junho de 2022,203.72,19218.5,0.010600202929469001
6 de julho de 2022,206.79,20160.0,0.010257440476190476
13 de julho de 2022,204.79,20172.7,0.010151838871345928
20 de julho de 2022,205.54,22817.5,0.00900799824695957
27 de julho de 2022,205.29,22499.6,0.00912416220732813
3 de agosto de 2022,207.33,22471.5,0.009226353380949202
10 de agosto de 2022,211.24,23260.0,0.009081685296646604
17 de agosto de 2022,206.77,22933.9,0.009015910944060975
24 de agosto de 2022,209.81,21428.5,0.009791165970553236
31 de agosto de 2022,206.39,19975.4,0.010332208616598415
7 de setembro de 2022,206.35,19287.5,0.010698639014906027
14 de setembro de 2022,209.01,20264.8,0.010313943389522719
21 de setembro de 2022,207.8,18800.0,0.011053191489361703
28 de setembro de 2022,210.43,19993.5,0.010524920599194739
5 de outubro de 2022,210.83,20342.9,0.010363812435788407
12 de outubro de 2022,210.51,19734.4,0.010667159883249552
19 de outubro de 2022,214.3,19585.5,0.010941768144801002
26 de outubro de 2022,210.82,20583.1,0.010242383314466722
2 de novembro de 2022,210.85,20527.5,0.010271586895627816
9 de novembro de 2022,209.48,15854.6,0.013212569222812305
16 de novembro de 2022,209.98,15895.4,0.013210111101324912
23 de novembro de 2022,212.76,15925.5,0.013359706131675614
30 de novembro de 2022,219.22,16475.1,0.013306140782150033
7 de dezembro de 2022,219.07,16015.6,0.013678538425035589
14 de dezembro de 2022,218.87,16672.7,0.013127447863873277
21 de dezembro de 2022,218.94,15845.0,0.013817608078258126
28 de dezembro de 2022,217.14,15549.0,0.013964885201620682
4 de janeiro de 2023,219.4,15882.6,0.01381385919181998
11 de janeiro de 2023,224.95,16662.5,0.013500375093773442
18 de janeiro de 2023,224.67,19149.2,0.01173260501744198
25 de janeiro de 2023,218.91,21114.2,0.010367904064563184
1 de fevereiro de 2023,222.16,21542.3,0.010312733552127674
8 de fevereiro de 2023,224.92,21435.0,0.010493118731047352
15 de fevereiro de 2023,228.66,22741.7,0.01005465730354371
22 de fevereiro de 2023,226.6,22802.2,0.009937637596372279
1 de março de 2023,230.38,22153.6,0.010399212769030768
8 de março de 2023,230.76,20565.4,0.011220788314353233
