Mes,Preco m2 [EUR],Variacao mensal,Variacao trimestral,Variacao anual
01-05-2025,2851,"1,20%","4,00%","7,40%"
01-04-2025,2817,"1,50%","4,60%","7,40%"
01-03-2025,2775,"1,20%","-1,90%","6,30%"
01-02-2025,2742,"1,80%","-1,50%","5,60%"
01-01-2025,2693,"-4,70%","-1,50%","4,30%"
01-12-2024,2827,"1,60%","3,40%","10,40%"
01-11-2024,2783,"1,80%","2,30%","10,00%"
01-10-2024,2733,"-0,10%","1,40%","9,40%"
01-09-2024,2735,"0,50%","2,00%","9,80%"
01-08-2024,2722,"0,90%","2,60%","9,10%"
01-07-2024,2696,"0,50%","2,80%","7,70%"
01-06-2024,2683,"1,10%","2,80%","7,00%"
01-05-2024,2654,"1,20%","2,20%","6,90%"
01-04-2024,2622,"0,50%","1,60%","5,80%"
01-03-2024,2610,"0,50%","1,90%","6,40%"
01-02-2024,2596,"0,60%","2,60%","6,20%"
01-01-2024,2582,"0,80%","3,30%","6,00%"
01-12-2023,2561,"1,20%","2,80%","5,30%"
01-11-2023,2530,"1,20%","1,50%","4,60%"
01-10-2023,2500,"0,30%","-0,20%","4,80%"
01-09-2023,2491,"-0,10%","-0,60%","5,40%"
01-08-2023,2494,"-0,40%","0,40%","5,40%"
01-07-2023,2503,"-0,10%","1,00%","6,40%"
01-06-2023,2507,"1,00%","2,10%","6,70%"
01-05-2023,2483,"0,10%","1,50%","6,40%"
01-04-2023,2480,"1,00%","1,80%","6,90%"
01-03-2023,2454,"0,30%","0,90%","6,00%"
01-02-2023,2446,"0,40%","1,10%","6,50%"
01-01-2023,2436,"0,20%","2,10%","6,90%"
01-12-2022,2432,"0,60%","2,90%","6,10%"
01-11-2022,2418,"1,40%","2,20%","5,80%"
01-10-2022,2386,"1,00%","1,40%","5,80%"
01-09-2022,2363,"-0,20%","0,60%","5,90%"
01-08-2022,2367,"0,60%","1,50%","6,40%"
01-07-2022,2352,"0,10%","1,40%","6,70%"
01-06-2022,2349,"0,70%","1,50%","7,70%"
01-05-2022,2333,"0,60%","1,60%","8,00%"
01-04-2022,2319,"0,20%","1,80%","7,70%"
01-03-2022,2315,"0,90%","1,00%","8,40%"
01-02-2022,2295,"0,70%","0,40%","8,10%"
01-01-2022,2279,"-0,60%","1,00%","6,90%"
01-12-2021,2292,"0,30%","2,80%","9,20%"
01-11-2021,2285,"1,30%","2,70%","9,60%"
01-10-2021,2256,"1,20%","2,30%","9,70%"
01-09-2021,2230,"0,30%","2,30%","8,90%"
01-08-2021,2224,"0,90%","3,00%","9,10%"
01-07-2021,2205,"1,10%","2,40%","9,10%"
01-06-2021,2180,"1,00%","2,10%","7,20%"
01-05-2021,2159,"0,30%","1,70%","6,10%"
01-04-2021,2153,"0,80%","1,00%","6,00%"
01-03-2021,2136,"0,60%","1,80%","5,80%"
01-02-2021,2123,"-0,40%","1,80%","5,60%"
01-01-2021,2131,"1,50%","3,60%","7,00%"
01-12-2020,2099,"0,70%","2,40%","5,50%"
01-11-2020,2085,"1,30%","2,30%","5,40%"
01-10-2020,2057,"0,40%","1,80%","5,10%"
01-09-2020,2049,"0,50%","0,70%","5,70%"
01-08-2020,2038,"0,90%","0,10%","5,50%"
01-07-2020,2021,"-0,70%","-0,50%","4,90%"
01-06-2020,2034,"-0,10%","0,70%","7,10%"
01-05-2020,2036,"0,20%","1,30%","8,30%"
01-04-2020,2031,"0,60%","2,00%","9,40%"
01-03-2020,2020,"0,50%","1,50%","9,90%"
01-02-2020,2010,"0,90%","1,70%","11,40%"
01-01-2020,1992,"0,10%","1,70%","10,50%"
01-12-2019,1990,"0,60%","2,60%","11,40%"
01-11-2019,1977,"1,00%","2,30%","12,40%"
01-10-2019,1957,"1,00%","1,60%","12,60%"
01-09-2019,1938,"0,30%","2,00%","14,20%"
01-08-2019,1932,"0,30%","2,80%","15,80%"
01-07-2019,1927,"1,40%","3,80%","-1,50%"
01-06-2019,1900,"1,00%","3,40%","16,00%"
01-05-2019,1880,"1,30%","4,20%","18,50%"
01-04-2019,1856,"1,10%","3,00%","18,60%"
01-03-2019,1837,"1,80%","2,80%","18,20%"
01-02-2019,1804,"0,10%","2,50%","17,10%"
01-01-2019,1803,"0,90%","3,70%","18,00%"
01-12-2018,1786,"1,50%","5,20%","17,90%"
01-11-2018,1760,"1,30%","5,40%","17,50%"
01-10-2018,1738,"2,40%","-11,10%","18,00%"
01-09-2018,1698,"1,70%","3,70%","17,20%"
01-08-2018,1669,"-14,60%","5,20%","17,40%"
01-07-2018,1955,"19,40%","24,90%","39,60%"
01-06-2018,1637,"3,20%","5,30%","18,50%"
01-05-2018,1586,"1,30%","3,00%","16,40%"
01-04-2018,1565,"0,70%","2,40%","15,60%"
