Date,Price,Open,High,Low,Vol.,Change %
10/01/2025,"94,201.1","97,221.1","107,410.9","88,620.1",12.57K,-3.08%
09/01/2025,"97,190.7","92,600.0","100,075.1","91,620.6",8.62K,4.96%
08/01/2025,"92,600.0","101,384.8","105,564.7","92,000.1",10.62K,-8.66%
07/01/2025,"101,384.8","90,922.1","104,408.9","89,128.8",12.01K,11.46%
06/01/2025,"91,358.6","92,278.0","93,210.0","90,824.0",0.41K,-1.00%
05/01/2025,"92,278.0","83,196.8","99,344.0","82,271.3",14.29K,10.91%
04/01/2025,"83,202.1","76,238.1","84,308.8","67,500.1",15.62K,9.06%
03/01/2025,"76,292.4","81,300.1","91,783.2","70,678.9",16.95K,-6.20%
02/01/2025,"81,334.0","98,896.6","99,290.7","75,200.1",14.98K,-17.75%
01/01/2025,"98,888.8","90,166.7","105,882.8","87,638.7",17.43K,9.67%
12/01/2024,"90,168.1","91,134.5","102,888.0","87,025.3",23.48K,-1.06%
11/01/2024,"91,134.5","64,537.4","95,497.1","61,431.3",33.72K,41.22%
10/01/2024,"64,531.9","56,874.6","67,981.4","53,950.0",15.85K,13.46%
09/01/2024,"56,874.6","53,381.3","59,490.0","47,483.1",13.19K,6.55%
08/01/2024,"53,380.0","59,725.1","60,770.4","45,172.5",20.90K,-10.63%
07/01/2024,"59,728.2","58,422.2","64,692.0","49,670.0",21.16K,2.29%
06/01/2024,"58,393.0","62,223.8","66,090.4","54,500.0",12.96K,-6.18%
05/01/2024,"62,241.8","56,828.1","65,800.0","53,000.1",16.27K,9.52%
04/01/2024,"56,833.5","66,064.3","67,100.0","55,383.7",21.01K,-14.06%
03/01/2024,"66,129.9","56,560.4","67,427.0","54,425.1",36.93K,16.91%
02/01/2024,"56,565.9","39,390.8","58,999.0","38,748.1",24.21K,43.55%
01/01/2024,"39,405.7","38,404.5","44,802.5","35,472.6",30.09K,2.63%
12/01/2023,"38,397.0","34,645.6","41,600.1","34,550.0",25.53K,10.83%
11/01/2023,"34,645.6","32,766.2","35,433.7","32,022.8",31.02K,5.73%
10/01/2023,"32,767.9","25,507.0","33,222.8","25,075.3",31.74K,28.47%
09/01/2023,"25,506.9","23,897.9","25,792.8","23,184.9",25.81K,6.73%
08/01/2023,"23,897.9","26,531.9","27,499.9","23,378.2",35.06K,-9.93%
07/01/2023,"26,531.8","27,899.8","28,961.3","26,086.0",23.27K,-4.91%
06/01/2023,"27,901.6","25,466.1","28,825.0","22,788.1",31.14K,9.56%
05/01/2023,"25,466.0","26,560.3","27,061.0","23,820.8",29.82K,-4.06%
04/01/2023,"26,543.1","26,266.5","28,026.3","24,483.6",35.46K,1.05%
03/01/2023,"26,266.6","21,874.0","26,896.7","18,480.1",57.98K,20.08%
02/01/2023,"21,874.0","21,296.5","23,660.3","19,954.2",34.18K,2.71%
01/01/2023,"21,296.5","15,423.0","22,009.9","15,388.5",38.49K,38.10%
12/01/2022,"15,420.9","16,475.3","17,192.9","15,305.2",30.17K,-6.40%
11/01/2022,"16,475.1","20,735.1","21,550.0","15,142.5",55.54K,-20.54%
10/01/2022,"20,735.0","19,816.9","21,119.4","18,874.2",30.25K,4.62%
09/01/2022,"19,818.8","19,970.8","22,406.0","18,323.2",44.37K,-0.78%
08/01/2022,"19,975.4","22,828.0","24,587.0","19,517.3",34.18K,-12.54%
07/01/2022,"22,840.5","19,038.6","24,136.9","18,015.0",54.11K,20.05%
06/01/2022,"19,026.0","29,600.9","29,759.5","16,755.9",64.66K,-35.70%
05/01/2022,"29,590.4","35,759.3","37,703.7","23,500.0",59.96K,-17.25%
04/01/2022,"35,759.3","41,095.8","43,032.0","35,451.0",30.29K,-12.99%
03/01/2022,"41,095.8","38,502.9","43,897.4","34,290.4",44.69K,6.75%
02/01/2022,"38,496.0","34,295.8","39,922.0","30,570.1",52.87K,12.25%
01/01/2022,"34,295.8","40,650.2","42,170.8","29,182.8",67.71K,-15.65%
12/01/2021,"40,660.3","50,269.2","52,100.0","38,502.0",61.88K,-19.16%
11/01/2021,"50,300.0","53,112.2","59,630.0","47,145.0",61.67K,-5.29%
10/01/2021,"53,112.2","37,862.1","57,436.0","37,439.9",83.52K,40.28%
09/01/2021,"37,862.1","39,915.0","44,574.6","33,815.2",75.48K,-5.14%
08/01/2021,"39,915.0","34,904.2","43,100.0","31,597.9",86.42K,14.36%
07/01/2021,"34,904.2","29,580.7","35,614.2","24,850.1",71.77K,18.08%
06/01/2021,"29,560.1","30,462.6","33,458.7","25,053.1",122.36K,-3.10%
05/01/2021,"30,504.6","47,963.6","48,651.7","27,089.5",214.23K,-36.40%
04/01/2021,"47,965.5","50,016.3","53,900.1","40,778.6",122.66K,-4.08%
03/01/2021,"50,008.3","37,427.4","50,529.4","37,427.4",132.62K,33.75%
02/01/2021,"37,388.6","27,350.0","47,200.1","27,350.0",,36.69%
01/01/2021,"27,352.0","23,647.2","33,345.3","23,647.2",,15.74%
12/01/2020,"23,631.3","16,430.1","23,631.3","14,950.1",,43.88%
11/01/2020,"16,424.1","11,838.0","16,424.1","11,539.3",,38.63%
10/01/2020,"11,847.6","9,189.9","11,885.0","8,999.8",,28.92%
09/01/2020,"9,189.9","9,779.4","10,007.1","8,423.1",,-6.04%
08/01/2020,"9,780.5","9,636.5","10,401.2","9,464.2",,1.49%
07/01/2020,"9,636.5","8,139.4","9,642.2","7,984.3",,18.39%
06/01/2020,"8,139.5","8,527.2","9,217.9","7,929.1",,-4.33%
05/01/2020,"8,508.2","7,903.9","9,273.9","7,500.1",,7.65%
04/01/2020,"7,903.9","5,835.8","8,732.1","5,646.2",,35.45%
03/01/2020,"5,835.5","7,736.9","8,189.9","3,551.1",,-24.58%
02/01/2020,"7,736.9","8,413.4","9,677.1","7,681.6",,-8.05%
01/01/2020,"8,414.0","6,397.4","8,671.8","6,143.0",,31.52%
12/01/2019,"6,397.4","6,867.6","7,000.0","5,801.0",,-6.85%
11/01/2019,"6,867.6","8,212.2","8,599.0","5,950.0",,-16.33%
10/01/2019,"8,208.1","7,619.0","9,388.7","6,600.1",,7.73%
09/01/2019,"7,619.0","8,755.0","9,927.6","7,064.6",,-13.04%
08/01/2019,"8,761.3","9,107.7","10,987.4","8,434.4",,-3.73%
