"Date","Price","Open","High","Low","Vol.","Change %"
"06/02/2025","91,306.5","93,118.4","93,118.4","90,824.0","0.25K","-1.95%"
"06/01/2025","93,118.3","92,278.0","93,210.0","91,572.2","0.14K","0.91%"
"05/31/2025","92,278.0","91,716.9","92,500.0","90,972.3","0.20K","0.63%"
"05/30/2025","91,698.5","92,847.2","93,742.0","91,423.1","0.62K","-1.24%"
"05/29/2025","92,847.2","95,982.8","96,525.0","92,620.5","0.59K","-3.22%"
"05/28/2025","95,936.1","96,111.0","96,542.7","94,593.3","0.47K","-0.18%"
"05/27/2025","96,110.9","96,136.8","97,500.0","94,417.5","0.43K","-0.03%"
"05/26/2025","96,138.0","95,877.1","97,056.0","95,487.0","0.44K","0.27%"
"05/25/2025","95,877.0","94,901.4","96,050.0","93,980.1","0.20K","1.03%"
"05/24/2025","94,901.4","94,468.0","96,341.7","94,150.1","0.22K","0.49%"
"05/23/2025","94,439.1","98,942.9","98,994.9","94,090.1","0.88K","-4.55%"
"05/22/2025","98,936.0","96,733.4","99,344.0","96,401.1","1.04K","2.28%"
"05/21/2025","96,730.1","94,654.9","97,684.0","93,522.5","1.20K","2.22%"
"05/20/2025","94,627.2","93,997.4","95,062.1","92,692.5","0.56K","0.68%"
"05/19/2025","93,984.4","95,081.2","95,594.5","90,710.1","0.74K","-1.22%"
"05/18/2025","95,143.9","92,404.1","95,202.5","92,396.4","0.39K","2.95%"
"05/17/2025","92,420.0","92,644.3","92,906.5","91,999.0","0.19K","-0.24%"
"05/16/2025","92,643.1","92,732.2","93,800.0","92,104.3","0.28K","-0.10%"
"05/15/2025","92,731.8","92,564.1","93,200.0","90,646.8","0.48K","0.18%"
"05/14/2025","92,564.1","93,160.1","93,160.1","91,590.1","0.37K","-0.64%"
"05/13/2025","93,160.0","92,654.9","93,810.2","91,371.1","0.30K","0.55%"
"05/12/2025","92,654.9","92,667.3","94,790.9","90,850.0","0.72K","-0.01%"
"05/11/2025","92,667.3","92,992.2","93,196.1","91,850.1","0.24K","-0.35%"
"05/10/2025","92,992.3","91,484.0","93,110.9","91,340.3","0.28K","1.66%"
"05/09/2025","91,472.7","91,871.7","92,619.8","90,742.2","0.44K","-0.47%"
"05/08/2025","91,903.0","85,806.4","92,555.8","85,640.8","0.85K","7.11%"
"05/07/2025","85,806.4","85,431.2","86,188.7","84,500.1","0.32K","0.50%"
"05/06/2025","85,377.3","83,771.3","85,441.6","82,271.3","0.24K","1.92%"
"05/05/2025","83,768.0","83,274.2","84,144.8","82,500.1","0.36K","0.56%"
"05/04/2025","83,297.5","84,897.6","85,275.8","83,181.8","0.16K","-1.89%"
"05/03/2025","84,901.2","85,775.6","85,791.1","84,836.4","0.19K","-1.02%"
"05/02/2025","85,775.5","85,435.6","86,384.2","85,051.3","0.43K","0.40%"
